id,english_name,chinese_name,volume_size,food_intake,night_shift,total_skills,make_a_fire,watering,planting,generate_electricity,manual,collection,logging,mining,pharmaceutical,cool_down,pasture,carry,handling_speed,ranch_items,pasture_minimum_output,the_largest_ranch_rank__partner_skill_level
1,Lamball,Mian Youyou,smallest,2,,3,0,0,0,0,1,0,0,0,0,0,1,1,160,wool,1,Rank
2,Cattiva,Naughty cat,smallest,2,,4,0,0,0,0,1,1,0,1,0,0,0,1,160,,0,
3,Chikipi,Pipi Chicken,smallest,1,,2,0,0,0,0,0,1,0,0,0,0,1,0,0,Egg,1,Rank
4,Lifmunk,green leaf rat,smallest,1,,5,0,0,1,0,1,1,1,0,1,0,0,0,0,,0,
5,Foxparks,tinder fox,smallest,2,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,
6,Fuack,surf duck,smallest,2,,3,0,1,0,0,1,0,0,0,0,0,0,1,202,,0,
7,Sparkit,Volt Meow,smallest,2,,3,0,0,0,1,1,0,0,0,0,0,0,1,270,,0,
8,Tanzee,Neolepithecus,smallest,2,,5,0,0,1,0,1,1,1,0,0,0,0,1,174,,0,
9,Rooby,Fire Deer,Small,3,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,
10,Pengullet,Keimaru,smallest,2,,4,0,1,0,0,1,0,0,0,0,1,0,1,265,,0,
11,Penking,King Keimaru,big,8,,10,0,2,0,0,2,0,0,2,0,2,0,2,280,,0,
12,Jolthog,electric rat,smallest,2,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,
13,Jolthog Cryst,ice agouti,smallest,2,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,
14,Gumoss,Ye NiNi,smallest,1,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,
15,Gumoss (Special),Ye Ni Ni (Special),smallest,1,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,
16,Vixy,Tamamo fox,smallest,1,,2,0,0,0,0,0,1,0,0,0,0,1,0,0,Palu Ball Advanced Palu Ball Arrow Gold Coin,0,"According to partner skill level 1,2,3,1,2 0,0,0,1,1 1,2,3,4,5 10,20,30,40,50"
17,Hoocrates,Tikar,smallest,3,yes,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,
18,Teafant,pot elephant,medium,2,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,
19,Depresso,Look at the devil,smallest,2,yes,3,0,0,0,0,1,0,0,1,0,0,0,1,100,,0,
20,Cremis,Miruffy,smallest,2,,2,0,0,0,0,0,1,0,0,0,0,1,0,0,wool,1,Rank
21,Daedream,sleep demon,smallest,3,yes,3,0,0,0,0,1,1,0,0,0,0,0,1,220,,0,
22,Rushoar,sage pig,Small,3,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,
23,Nox,Lunati,smallest,2,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,
24,Fuddler,Escape Rat,smallest,2,,3,0,0,0,0,1,0,0,1,0,0,0,1,240,,0,
25,Killamari,squid,smallest,3,yes,3,0,0,0,0,0,1,0,0,0,0,0,2,260,,0,
26,Mau,Meowster,smallest,1,yes,1,0,0,0,0,0,0,0,0,0,0,1,0,0,gold,10,Rank*10
27,Mau Cryst,ice cream,smallest,1,,2,0,0,0,0,0,0,0,0,0,1,1,0,0,gold,10,Rank*10
28,Celaray,Rumiel,medium,3,,2,0,1,0,0,0,0,0,0,0,0,0,1,350,,0,
29,Direhowl,hunting wolves,Small,3,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,
30,Tocotoco,Fried egg bird,Small,2,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,
31,Flopie,Bona Rabbit,smallest,3,,5,0,0,1,0,1,1,0,0,1,0,0,1,250,,0,
32,Mozzarina,Boba Cow,Small,3,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,milk,1,Rank
33,Bristla,Thorn Fairy,Small,5,,6,0,0,1,0,1,1,0,0,2,0,0,1,250,,0,
34,Gobfin Ignis,red shark,Small,3,,4,2,0,0,0,1,0,0,0,0,0,0,1,120,,0,
35,Gobfin,Sharkboy,Small,3,,4,0,2,0,0,1,0,0,0,0,0,0,1,120,,0,
36,Hangyu Crystal,Icebound Spirit,smallest,2,,5,0,0,0,0,1,1,0,0,0,1,0,2,250,,0,
37,Hangyu,Hanging spirit,smallest,2,,4,0,0,0,0,1,1,0,0,0,0,0,2,250,,0,
38,Mossanda,Ye Panda,big,5,,9,0,0,2,0,2,0,2,0,0,0,0,3,275,,0,
39,Mossanda Lux,Lei Panda,big,5,,9,0,0,0,2,2,0,2,0,0,0,0,3,275,,0,
40,Woolipop,Marshmallow,Small,2,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Marshmallow,1,Rank
41,Caprity,bush sheep,Small,4,,3,0,0,2,0,0,0,0,0,0,0,1,0,0,red wild berries,1,Rank
42,Melpaca,Melupa,medium,3,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,wool,2,1+Rank
43,Eikthyrdeer,Zixia Deer,big,5,,2,0,0,0,0,0,0,2,0,0,0,0,0,0,,0,
44,Eikthyrdeer Terra,Only a deer,big,5,,2,0,0,0,0,0,0,2,0,0,0,0,0,0,,0,
45,Nitewing,Swift Falcon,big,7,,2,0,0,0,0,0,2,0,0,0,0,0,0,0,,0,
46,Ribunny,Ji Xiaotu,smallest,2,,3,0,0,0,0,1,1,0,0,0,0,0,1,172,,0,
47,Incineram,Balrog Sheep,medium,4,yes,6,1,0,0,0,2,0,0,1,0,0,0,2,320,,0,
48,Incineram Noct,Dark Demon Sheep,medium,4,yes,5,0,0,0,0,2,0,0,1,0,0,0,2,320,,0,
49,Cinnamoth,Huan Yue Butterfly,medium,3,,3,0,0,2,0,0,0,0,0,1,0,0,0,0,,0,
50,Arsox,Blazing Ox,medium,5,,3,2,0,0,0,0,0,1,0,0,0,0,0,0,,0,
51,Dumud,Pa Pa Pa Catfish,medium,4,,4,0,1,0,0,0,0,0,2,0,0,0,1,300,,0,
52,Cawgnito,Black Crow Hermit,medium,5,yes,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,
53,Leezpunk Ignis,Hot-blooded lizard,Small,3,,4,1,0,0,0,1,1,0,0,0,0,0,1,270,,0,
54,Leezpunk,punk lizard,Small,3,yes,3,0,0,0,0,1,1,0,0,0,0,0,1,270,,0,
55,Loupmoon,Moonscythe Demon,medium,5,yes,2,0,0,0,0,2,0,0,0,0,0,0,0,0,,0,
56,Galeclaw,Tianqinniao,medium,4,,2,0,0,0,0,0,2,0,0,0,0,0,0,0,,0,
57,Robinquill,Feather Archer,medium,3,,9,0,0,1,0,2,2,1,0,1,0,0,2,400,,0,
58,Robinquill Terra,mountain shooter,medium,3,,8,0,0,0,0,2,2,1,0,1,0,0,2,400,,0,
59,Gorirat,Iron Fist Ape,Small,3,,6,0,0,0,0,1,0,2,0,0,0,0,3,250,,0,
60,Beegarde,knight bee,medium,3,,8,0,0,1,0,1,1,1,0,1,0,1,2,350,Honey,1,Rank
61,Elizabee,queen bee,big,7,,9,0,0,2,0,2,2,1,0,2,0,0,0,0,,0,
62,Grintale,Laughing Nightmare Cat,big,4,,2,0,0,0,0,0,2,0,0,0,0,0,0,0,,0,
63,Swee,Mao duster,smallest,2,,2,0,0,0,0,0,1,0,0,0,1,0,0,0,,0,
64,Sweepa,Dad Mao,big,3,,4,0,0,0,0,0,2,0,0,0,2,0,0,0,,0,
65,Chillet,Whirling Weasel,medium,3,,2,0,0,0,0,0,1,0,0,0,1,0,0,0,,0,
66,Univolt,thunder wildebeest,medium,5,,3,0,0,0,2,0,0,1,0,0,0,0,0,0,,0,
67,Foxcicle,blowing snow fox,Small,3,,2,0,0,0,0,0,0,0,0,0,2,0,0,0,,0,
68,Pyrin,fire unicorn,big,5,,3,2,0,0,0,0,0,1,0,0,0,0,0,0,,0,
69,Pyrin Noct,evil unicorn,big,5,yes,3,2,0,0,0,0,0,1,0,0,0,0,0,0,,0,
70,Reindrix,Deer in severe winter,medium,7,,4,0,0,0,0,0,0,2,0,0,2,0,0,0,,0,
71,Rayhound,thunder dog,medium,5,,2,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,
72,Kitsun,Blue Flame Wolf,medium,4,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,
73,Dazzi,Thunder Boy,smallest,2,,3,0,0,0,1,1,0,0,0,0,0,0,1,300,,0,
74,Lunaris,Mystia,medium,2,,5,0,0,0,0,3,1,0,0,0,0,0,1,315,,0,
75,Dinossom,Corolla dragon,big,6,,5,0,0,2,0,0,0,3,0,0,0,0,0,0,,0,
76,Dinossom Lux,Thunder Guanlong,big,6,,4,0,0,0,2,0,0,2,0,0,0,0,0,0,,0,
77,Surfent,water-sliding snake,medium,5,,2,0,2,0,0,0,0,0,0,0,0,0,0,0,,0,
78,Surfent Terra,quicksand snake,medium,5,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,
79,Maraith,Soul Eater,medium,3,yes,3,0,0,0,0,0,2,0,1,0,0,0,0,0,,0,
80,Digtoise,Rock Crusher Turtle,medium,5,,3,0,0,0,0,0,0,0,3,0,0,0,0,0,,0,
81,Tombat,cat bat monster,medium,5,yes,6,0,0,0,0,0,2,0,2,0,0,0,2,270,,0,
82,Lovander,fraternity lizard,big,5,yes,7,0,0,0,0,2,0,0,1,2,0,0,2,460,,0,
83,Flambelle,Rong Yan Niang,smallest,2,,4,1,0,0,0,1,0,0,0,0,0,1,1,140,fire breathing organ,1,Rank
84,Vanwyrm,Fenggelong,big,6,yes,4,1,0,0,0,0,0,0,0,0,0,0,3,475,,0,
85,Vanwyrm Cryst,Frost Song Dragon,big,6,yes,5,0,0,0,0,0,0,0,0,0,2,0,3,475,,0,
86,Bushi,Wave Blade Samurai,medium,4,,9,2,0,0,0,1,1,3,0,0,0,0,2,320,,0,
87,Beakon,Thunderbird,big,7,,6,0,0,0,2,0,1,0,0,0,0,0,3,375,,0,
88,Ragnahawk,Flamingo,big,7,,6,3,0,0,0,0,0,0,0,0,0,0,3,375,,0,
89,Katress,dark witch cat,medium,5,yes,6,0,0,0,0,2,0,0,0,2,0,0,2,292,,0,
90,Wixen,Flame Witch Fox,medium,5,,7,2,0,0,0,3,0,0,0,0,0,0,2,292,,0,
91,Verdash,spring rabbit,medium,3,,12,0,0,2,0,3,3,2,0,0,0,0,2,275,,0,
92,Vaelet,Verita,medium,3,,10,0,0,2,0,2,2,0,0,3,0,0,1,275,,0,
