id,chinese_name,name,codename,overridenametextid,overridepartnerskilltextid,ispal,tribe,bpclass,variant,volume_size,rarity,element_1,element_2,genuscategory,organization,weapon,weaponequip,nocturnal,4d_total,hp,melee_attack,remote_attack,defense,support,speed_of_work,level_1,level_20,level_50,airresponse,endurance,slow_walking_speed,walking_speed,running_speed,riding_sprint_speed,being_damage_multiplier,catch_rate,experience_multiplier,price,must_bring_entry_1,must_bring_entry_2,numerical_description,lv1,lv2,lv3,lv4,lv5,skill_description
1,Mian Youyou,Lamball,SheepBall,,,1,EPalTribeID::SheepBall,SheepBall,,XS,1,generally,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,0,280,70,70,70,70,100,100,0,0,0,Friendly,100,23,40,400,0,200%,150%,100%,1000,,,Ranch skills,0,0,0,0,0,"When activated, it will transform into a shield equipped on the player. Assign it to Palu Ranch and it will have a chance to drop Wool."
2,Naughty cat,Cattiva,PinkCat,,,1,EPalTribeID::PinkCat,PinkCat,,XS,1,generally,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,0,280,70,70,70,70,100,100,0,0,0,Escape_to_Battle,100,30,60,400,0,200%,150%,100%,1000,timid,,Increased weight bearing,50,60,70,80,90,"If PinkCat is in the team, it will help carry luggage and increase the player's maximum weight limit."
3,Pipi Chicken,Chikipi,ChickenPal,,,1,EPalTribeID::ChickenPal,ChickenPal,,XS,1,generally,,EPalGenusCategoryType::Bird,EPalOrganizationType::None,EPalWeaponType::None,0,0,250,60,70,60,60,70,100,0,0,0,Friendly,100,50,50,375,0,200%,150%,100%,1000,,,Ranch skills,0,0,0,0,0,Assign it to Palu Ranch and it will have a chance to give birth to Eggs.
4,green leaf rat,Lifmunk,Carbunclo,,,1,EPalTribeID::Carbunclo,Carbunclo,,XS,1,Wood,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,0,285,75,70,70,70,100,100,0,0,0,Escape,100,20,40,400,0,100%,90%,100%,1010,,,Skill power,10,11,13,16,20,"After being activated, it will sit on the player's head and use a submachine gun to chase after the player's attacks."
5,tinder fox,Foxparks,Kitsunebi,,,1,EPalTribeID::Kitsunebi,Kitsunebi,,XS,1,fire,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,0,0,280,65,70,75,70,100,100,0,0,0,Escape_to_Battle,100,40,80,400,0,130%,110%,100%,1040,,,Skill power,10,11,13,16,20,"When activated, it will transform into a flamethrower equipped on the player."
6,surf duck,Fuack,BluePlatypus,,,1,EPalTribeID::Blueplatypus,BluePlatypus,,XS,1,water,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,0,280,60,80,80,60,100,100,0,0,0,Escape_to_Battle,100,70,105,300,0,130%,110%,100%,1120,,,Skill power multiplier,1,1,1,1,2,"When activated, BluePlatypus will ride the wave towards the enemy."
7,Volt Meow,Sparkit,ElecCat,,,1,EPalTribeID::ElecCat,ElecCat,,XS,1,electricity,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,0,265,60,60,75,70,80,100,0,0,0,Escape_to_Battle,100,40,80,350,0,130%,110%,100%,1030,,,Attack power bonus%,10,11,13,16,20,"If it is in the team, the elemental Electricity Palu's attack power will be increased."
8,Neolepithecus,Tanzee,Monkey,,,1,EPalTribeID::Monkey,Monkey,,XS,1,Wood,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,0,320,80,100,70,70,100,100,0,0,0,Escape_to_Battle,100,48,48,300,0,120%,110%,100%,1280,,,Skill power,20,22,26,32,40,"After activation, Monkey will violently shoot nearby enemies with an assault rifle within a certain period of time."
9,Fire Deer,Rooby,FlameBambi,,,1,EPalTribeID::FlameBambi,FlameBambi,,S,2,fire,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,0,0,320,75,100,70,75,100,100,0,0,0,Escape_to_Battle,100,70,100,400,0,130%,110%,100%,2950,,,Attack power bonus%,10,11,13,16,20,"If it is in the team, the elemental Fire Palu's attack power will be increased."
10,Keimaru,Pengullet,Penguin,,,1,EPalTribeID::Penguin,Penguin,,XS,1,water,ice,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,0,285,70,70,75,70,100,100,0,0,0,Escape_to_Battle,100,30,60,500,0,100%,90%,100%,1080,,,Skill power,250,285,325,400,500,"After activation, players will equip Launcher_Default and can shoot Penguin as a cannonball. After hitting the target, Penguin will explode and fall into a dying state."
11,King Keimaru,Penking,CaptainPenguin,,,1,EPalTribeID::CaptainPenguin,CaptainPenguin,,L,6,water,ice,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,0,355,95,70,95,95,100,100,0,0,0,Warlike,100,50,110,450,0,100%,100%,100%,5410,,,Drop increased by %_Fire,40,50,60,70,80,"When fighting alongside it, if you knock down the elemental Fire's pallu, you can get more dropped items from that pallu."
12,electric rat,Jolthog,Hedgehog,,,1,EPalTribeID::Hedgehog,Hedgehog,,XS,1,electricity,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,0,0,285,70,70,75,70,100,100,0,0,0,Escape_to_Battle,100,30,60,400,0,130%,120%,100%,1060,,,Skill power,100,110,130,160,200,"After activation, you can equip Hedgehog in your hand. If you throw it at the enemy and hit the target, it will trigger a thunder explosion."
12,ice agouti,Jolthog Cryst,Hedgehog_Ice,,,1,EPalTribeID::Hedgehog_Ice,Hedgehog_Ice,yes,XS,2,ice,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,0,0,295,70,70,75,80,100,100,0,0,0,Escape_to_Battle,100,30,60,400,0,100%,100%,100%,1070,,,Skill power,100,110,130,160,200,"After activation, you can equip Hedgehog_Ice in your hand. If you throw it at the enemy and hit the target, it will trigger an ice explosion."
13,Ye NiNi,Gumoss,PlantSlime,,,1,EPalTribeID::PlantSlime,PlantSlime,,XS,1,Wood,land,EPalGenusCategoryType::Other,EPalOrganizationType::None,EPalWeaponType::None,0,0,310,70,100,70,70,100,100,0,0,0,Escape_to_Battle,100,50,50,300,0,180%,130%,100%,1310,,,Logging bonus%,10,11,13,16,20,"If it is in the party, players will be able to deal more damage when harvesting."
13,Ye Ni Ni (Special),Gumoss (Special),PlantSlime_Flower,PAL_NAME_PlantSlime,PARTNERSKILL_PlantSlime,1,EPalTribeID::PlantSlime,PlantSlime_Flower,,XS,10,Wood,land,EPalGenusCategoryType::Other,EPalOrganizationType::None,EPalWeaponType::None,0,0,310,70,100,70,70,100,100,0,0,0,Escape_to_Battle,100,50,50,300,0,180%,130%,100%,1310,,,Logging bonus%,10,11,13,16,20,"If it is in the party, players will be able to deal more damage when harvesting."
14,Tamamo fox,Vixy,CuteFox,,,1,EPalTribeID::CuteFox,CuteFox,,XS,2,generally,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,0,0,280,70,70,70,70,140,100,0,0,0,Escape_to_Battle,100,30,60,350,0,170%,130%,100%,1000,,,Ranch skills,0,0,0,0,0,Assign it to the Palu Ranch and it will have a chance to dig items out of the ground.
15,Tikar,Hoocrates,WizardOwl,,,1,EPalTribeID::WizardOwl,WizardOwl,,XS,1,dark,,EPalGenusCategoryType::Bird,EPalOrganizationType::None,EPalWeaponType::None,0,1,290,70,70,70,80,100,100,0,0,0,NotInterested,100,26,70,380,0,100%,100%,100%,1050,,,Attack power bonus%,10,11,13,16,20,"If it is in the team, the elemental Dark Palu's attack power will be increased."
16,pot elephant,Teafant,Ganesha,,,1,EPalTribeID::Ganesha,Ganesha,,M,1,water,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,0,0,270,70,70,60,70,100,100,0,0,0,Escape_to_Battle,100,30,60,300,0,160%,130%,100%,1000,,,treatment value,200,220,260,320,400,"When activated, it will spray out mysterious water that is extremely effective on wounds to restore the player's health."
17,Look at the devil,Depresso,NegativeKoala,,,1,EPalTribeID::NegativeKoala,NegativeKoala,,XS,1,dark,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,1,280,70,70,70,70,100,100,0,0,0,Warlike,100,10,10,300,0,120%,100%,100%,1050,,,Movement speed multiplier,2,3,5,10,10,"After activation, NegativeKoala will drink a large amount of energy drinks, greatly increasing his movement speed for a certain period of time."
18,Miruffy,Cremis,WoolFox,,,1,EPalTribeID::WoolFox,WoolFox,,XS,1,generally,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,0,0,315,70,100,70,75,100,100,0,0,0,Escape_to_Battle,100,20,40,300,0,170%,130%,100%,1420,,,Attack power bonus%,10,11,13,16,20,"If it is in the team, the attack power of the elemental Normal Palu will be increased. Assign it to Palu Ranch and it will have a chance to drop Wool."
19,sleep demon,Daedream,DreamDemon,,,1,EPalTribeID::DreamDemon,DreamDemon,,XS,1,dark,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,1,305,70,100,75,60,100,100,0,0,0,Friendly,100,70,140,300,0,100%,100%,100%,1330,,,Skill power multiplier,1,1,1,1,2,"If it is in the party, it will appear next to the player. It will coordinate with the player's offensive to pursue with magic bullets."
20,sage pig,Rushoar,Boar,,,1,EPalTribeID::Boar,Boar,,S,1,land,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,0,0,320,80,100,70,70,100,100,0,0,0,Warlike,100,70,150,450,700,110%,100%,100%,1680,,,Mining bonus+,500,750,1100,1500,2000,Can be moved around on its back. Destroying rocks while riding will be more efficient.
21,Lunati,Nox,NightFox,,,1,EPalTribeID::NightFox,NightFox,,XS,6,dark,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,0,0,300,75,70,85,70,140,100,0,0,0,Escape_to_Battle,100,30,60,300,0,100%,100%,100%,1480,,,Attack power bonus%,5,6,7,8,10,"When fighting alongside it, it will grant elemental Dark to the player's attacks."
22,Escape Rat,Fuddler,CuteMole,,,1,EPalTribeID::CuteMole,CuteMole,,XS,1,land,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,0,295,65,100,80,50,100,100,0,0,0,Escape_to_Battle,100,30,60,300,0,100%,100%,100%,1360,,,distance,10000,11000,13000,16000,20000,"When activated, it will emit tiny vibrations to detect the location of nearby ores."
23,squid,Killamari,NegativeOctopus,,,1,EPalTribeID::NegativeOctopus,NegativeOctopus,,XS,1,dark,,EPalGenusCategoryType::Other,EPalOrganizationType::None,EPalWeaponType::None,0,1,290,60,100,60,70,100,100,0,0,0,NotInterested,100,60,120,400,0,100%,100%,100%,1200,,,Paraglider maximum speed (gravity factor),0,0,0,0,0,"If it is in the party, it can be summoned in place of the paraglider. It can float in the air for long periods of time while gliding."
24,Meowster,Mau,Bastet,,,1,EPalTribeID::Bastet,Bastet,,XS,1,dark,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,0,1,270,70,70,60,70,100,100,0,0,0,Escape_to_Battle,100,52,105,475,0,100%,100%,100%,1000,,,Ranch skills,0,0,0,0,0,Assign it to Palu Ranch and it will have a chance to dig Money out of the ground.
24,ice cream,Mau Cryst,Bastet_Ice,,,1,EPalTribeID::Bastet_Ice,Bastet_Ice,yes,XS,2,ice,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,0,0,275,70,70,65,70,100,100,0,0,0,Escape_to_Battle,100,52,105,475,0,100%,100%,100%,1010,,,Ranch skills,0,0,0,0,0,Assign it to Palu Ranch and it will have a chance to dig Money out of the ground.
25,Rumiel,Celaray,FlyingManta,,,1,EPalTribeID::FlyingManta,FlyingManta,,M,3,water,,EPalGenusCategoryType::Other,EPalOrganizationType::None,EPalWeaponType::None,0,0,330,80,100,70,80,100,100,0,0,0,Escape_to_Battle,100,30,150,550,0,120%,110%,100%,2860,,,Paraglider maximum speed (gravity factor),0,0,0,0,0,"If it is in the party, it can be summoned in place of the paraglider. Can move quickly for long periods of time while gliding."
26,hunting wolves,Direhowl,Garm,,,1,EPalTribeID::Garm,Garm,,S,2,generally,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,0,0,355,80,110,90,75,100,100,0,0,0,Warlike,100,90,180,800,1050,100%,100%,100%,1920,,,Moving speed%,0,10,12,15,20,Can be moved around on its back. Movement speed while riding will be slightly faster.
27,Fried egg bird,Tocotoco,ColorfulBird,,,1,EPalTribeID::ColorfulBird,ColorfulBird,,S,1,generally,,EPalGenusCategoryType::Bird,EPalOrganizationType::None,EPalWeaponType::None,0,0,285,60,80,75,70,70,100,0,0,0,Warlike,100,30,60,300,0,100%,100%,100%,1090,,,Skill power,100,110,130,160,200,"When activated, it will transform into a launcher equipped on the player and create exploding eggs."
28,Bona Rabbit,Flopie,FlowerRabbit,,,1,EPalTribeID::FlowerRabbit,FlowerRabbit,,XS,1,Wood,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,0,310,75,100,65,70,100,100,0,0,0,Escape_to_Battle,100,100,100,400,0,100%,100%,100%,1220,,,0,0,0,0,0,0,"If it is in the party, it will appear next to the player. It will automatically pick up nearby props."
