name,hp,remote_attack,riding_speed
Chaos Knight BOSS,260,0,0
Chaos Knight,130,0,0
Winter Caller Beast BOSS,420,0,0
Winter Caller,140,0,0
Night Caller BOSS,420,0,0
Night Caller,140,0,0
Vortex Dragon BOSS,330,0,0
Vortex Dragon,110,0,0
Holy Light Knight BOSS,260,0,0
Knight of Light,130,0,0
Melupa BOSS,90,0,0
Melupa,75,0,0
Volt Meow BOSS,80,0,0
Volt Meow,75,0,0
Snow Mammoth BOSS,90,0,0
snow mammoth,85,0,0
Zixialu BOSS,0,0,1000
Zixia Deer,0,0,900
Suzaku BOSS,0,0,1200
Suzaku,0,0,1100
Yunhailu BOSS,0,0,1150
Cloud sea deer,0,0,1050
Hell Flame King BOSS,0,0,1000
Hell King BOSS,0,0,1000
Hellfire King,0,0,900
Hell King,0,0,900
Heterogeneous Griffin BOSS,0,0,1300
Heterogeneous Griffin,0,0,1200
Ye Panda BOSS,0,0,800
Ye Panda,0,0,700
Flame Glory BOSS,0,0,1000
Flame Glory,0,0,900
Severe Winter Deer BOSS,0,0,800
Deer in severe winter,0,0,700
Thunderbird BOSS,0,0,1300
Thunderbird,0,0,1200
Snow Mammoth BOSS,0,0,700
snow mammoth,0,0,600
Evil Qilin BOSS,0,0,1400
evil unicorn,0,0,1300
Laughing Nightmare Cat BOSS,0,0,900
Laughing Nightmare Cat,0,0,800
Tianyulong BOSS,0,0,1050
Tianyulong,0,0,950
Teng Yanlong BOSS,0,0,800
Teng Yanlong,0,0,700
Firebird BOSS,0,0,1400
Flamingo,0,0,1300
Water Spirit Dragon BOSS,0,0,900
Water Spirit Dragon,0,0,800
Frost Song Dragon BOSS,0,0,950
Frost Song Dragon,0,0,850
Soul-Eating Beast BOSS,0,0,900
Soul Eater,0,0,800
Mammoth BOSS,0,0,700
Mammoth,0,0,600
Lava Beast BOSS,0,0,650
Lava Beast,0,0,550
Qingque BOSS,0,0,1200
Qingque,0,0,1100
Jiyuelu BOSS,0,0,1000
Only a deer,0,0,900
Thunder Dog BOSS,0,0,1200
thunder dog,0,0,1150
Pekeron BOSS,0,0,900
Pecorone,0,0,800
Pike Dragon BOSS,0,0,900
Parker,0,0,800
Demon Dragon BOSS,0,0,900
Demon Dragon,0,0,800
Melupa BOSS,0,0,900
Melupa,0,0,800
Daddy Mao BOSS,0,0,600
Dad Mao,0,0,500
Green Moss Velvet Monster BOSS,0,0,650
Green Moss Velvet,0,0,550
Quicksand Snake BOSS,0,0,750
quicksand snake,0,0,650
Lianlilong BOSS,0,0,600
Lian Lilong,0,0,500
Leipanda BOSS,0,0,800
Lei Panda,0,0,700
Thunderbird BOSS,0,0,1200
Thunderbird,0,0,1100
Thunderhorne BOSS,0,0,1200
thunder wildebeest,0,0,1100
Thunder Crown Dragon BOSS,0,0,800
Thunder Guanlong,0,0,700
King Melupa BOSS,0,0,800
King Melupa,0,0,700
Elf Dragon BOSS,0,0,900
Faerie Dragon,0,0,800
Whirlpool Weasel BOSS,0,0,900
Whirling Weasel,0,0,800
Gale Falcon BOSS,0,0,850
Swift Falcon,0,0,750
Fire Qilin BOSS,0,0,1400
fire unicorn,0,0,1300
Night Caller BOSS,0,0,1600
Night Caller,0,0,1500
Winter Caller Beast BOSS,0,0,1600
Winter Caller,0,0,1500
Water Skiing Snake BOSS,0,0,750
water-sliding snake,0,0,650
Corolla Dragon BOSS,0,0,800
Corolla dragon,0,0,700
Horus BOSS,0,0,1500
Horus,0,0,1400
Frost Beast BOSS,0,0,650
Frost Beast,0,0,550
Allison BOSS,0,0,600
Allother,0,0,500
Sea-covering Dragon BOSS,0,0,800
Sea-covering dragon,0,0,700
Fenggelong BOSS,0,0,950
Fenggelong,0,0,850
Blazing Ox BOSS,0,0,900
Blazing Ox,0,0,800
Grassy Pig BOSS,0,0,800
sage pig,0,0,700
Blue Flame Wolf BOSS,0,0,1000
Blue Flame Wolf,0,0,900
Ice Emperor Melupa BOSS,0,0,800
Ice Emperor Melpa,0,0,700
Bihailong BOSS,0,0,900
Bihailong,0,0,800
Lightning Bear BOSS,0,0,650
Lightning Bear,0,0,550
White Velvet Snow Monster BOSS,0,0,650
White Velvet Snow Monster,0,0,550
