id,name,min_level,max_level,fecundity,refresh_type,night_only,refresh_area,source
1,Mian Youyou,1.0,14.0,0,,,,min_level_table
2,Naughty cat,1.0,13.0,0,,,,min_level_table
3,Pipi Chicken,1.0,13.0,0,,,,min_level_table
4,green leaf rat,2.0,13.0,0,,,,min_level_table
5,tinder fox,2.0,18.0,0,,,,min_level_table
6,surf duck,2.0,13.0,0,,,,min_level_table
7,Volt Meow,3.0,17.0,0,,,,min_level_table
8,Neolepithecus,2.0,13.0,0,,,,min_level_table
9,Fire Deer,2.0,13.0,0,,,,min_level_table
10,Keimaru,2.0,45.0,0,,,,min_level_table
11,King Keimaru,15.0,22.0,0,,,,min_level_table
12,electric rat,3.0,13.0,0,,,,min_level_table
12,ice agouti,10.0,10.0,0,,,,min_level_table
13,Ye Ni Ni (Special),2.0,14.0,0,,,,min_level_table
13,Ye NiNi,2.0,14.0,0,,,,min_level_table
14,Tamamo fox,3.0,13.0,0,,,,min_level_table
15,Tikar,3.0,14.0,0,,,,min_level_table
16,pot elephant,1.0,13.0,0,,,,min_level_table
17,Look at the devil,3.0,14.0,0,,,,min_level_table
18,Miruffy,2.0,14.0,0,,,,min_level_table
19,sleep demon,3.0,15.0,0,,,,min_level_table
20,sage pig,2.0,13.0,0,,,,min_level_table
21,Lunati,3.0,19.0,0,,,,min_level_table
22,Escape Rat,5.0,40.0,0,,,,min_level_table
23,squid,5.0,13.0,0,,,,min_level_table
24,ice cream,30.0,45.0,0,,,,min_level_table
24,Meowster,5.0,15.0,0,,,,min_level_table
25,Rumiel,2.0,13.0,0,,,,min_level_table
26,hunting wolves,4.0,15.0,0,,,,min_level_table
27,Fried egg bird,11.0,40.0,0,,,,min_level_table
28,Bona Rabbit,10.0,29.0,0,,,,min_level_table
29,Boba Cow,10.0,19.0,0,,,,min_level_table
30,Thorn Fairy,16.0,29.0,0,,,,min_level_table
31,Sharkboy,20.0,29.0,0,,,,min_level_table
31,red shark,25.0,38.0,0,,,,min_level_table
