chinese_name,code_name,overridepartnerskilltextid,tribe,bpclass,pictorial_id,size,rarity,element_1,genuscategory,hp,melee_attack,remote_attack,defense,support,craftspeed,being_damage_multiplier,capture_probability,experience_multiplier,price,airresponse,slow_walking_speed,walking_speed,running_speed,riding_sprint_speed,handling_speed,isboss,istowerboss,battlebgm,ignoreleanback,ignoreblowaway,maxfullstomach,fullstomachdecreaserate,foodamount,viewingdistance,viewingangle,hearingrate,nocturnal,biologicalgrade,predator,edible,endurance,male_probability,fecundity,breathing_fire,watering,planting,generate_electricity,manual,collection,logging,mining,oilextraction_not_shown_in_game,pharmaceutical,cool_down,carry,pasture,power_score
Victor & Heterogeneous Griffin,BlackGriffon,lackGriffon,BlackGriffon,BlackGriffon,-2,XL,10,Dark,FourLegged,8000,130,200,220,90,100,100%,100%,30,9060,Warlike,80,80,850,1100,465,1,1,TowerBoss,1,1,525,1,8,25,90,1,1,9,0,1,100,100,9999,0,0,0,0,0,1,0,0,0,0,0,0,0,8550
Zoe & Lightning Bear,ElecPanda,lecPanda,ElecPanda,ElecPanda,-2,XL,8,Electricity,Humanoid,6000,100,100,100,100,100,100%,100%,30,6610,Warlike,80,140,470,650,287,1,1,TowerBoss,1,1,475,1,6,25,90,1,0,9,1,1,100,0,9999,0,0,0,3,2,0,2,0,0,0,0,3,0,6300
Marcus & Horus,Horus,orus,Horus,Horus,-2,XL,9,Fire,Bird,6500,100,120,125,90,100,100%,100%,30,6720,Warlike,150,200,1000,1300,500,1,1,TowerBoss,1,1,525,1,8,25,90,1,0,9,0,1,100,100,9999,3,0,0,0,0,0,0,0,0,0,0,3,0,6845
Lily & Lily Queen,LilyQueen,ilyQueen,LilyQueen,LilyQueen,-2,XL,9,Leaf,Humanoid,5500,100,110,105,100,100,100%,100%,30,6510,Warlike,60,100,450,650,275,1,1,TowerBoss,1,1,475,1,6,25,90,1,0,9,0,1,100,0,9999,0,0,3,0,2,2,0,0,0,3,0,0,0,5815
Axel & Pollux,ThunderDragonMan,hunderDragonMan,ThunderDragonMan,ThunderDragonMan,-2,XL,9,Dragon,Humanoid,6500,100,140,110,100,100,100%,100%,30,8320,Warlike,100,185,900,1300,542,1,1,TowerBoss,1,1,475,1,7,25,90,1,0,9,0,1,100,100,9999,0,0,0,3,2,0,0,0,0,0,0,3,0,6850
does not appear in the game,BadCatgirl,,BadCatgirl,BadCatgirl,-1,XL,0,Dark,Humanoid,100,100,90,90,100,100,100%,100%,1,4690,Warlike,-1,-1,-1,-1,-1,0,0,Cute,0,0,225,1,3,25,90,1,1,0,0,1,100,50,0,0,0,0,0,2,3,1,0,0,0,0,2,0,380
does not appear in the game,BlueberryFairy,,BlueberryFairy,BlueberryFairy,-1,XL,0,Leaf,Humanoid,100,100,100,100,100,100,100%,100%,1,8200,Escape_to_Battle,-1,-1,-1,-1,-1,0,0,Cute,0,0,225,1,3,25,90,1,0,0,0,1,100,50,0,0,0,2,0,1,2,0,0,0,3,0,1,0,400
Melupa,Alpaca,Alpaca,Alpaca,BOSS_Alpaca,-1,XL,3,Normal,FourLegged,90,90,90,90,100,100,40%,70%,10,3040,NotInterested,62,62,460,900,261,1,0,FieldBoss,0,0,225,1,3,25,90,1,0,9,0,1,100,50,890,0,0,0,0,0,0,0,0,0,0,0,0,1,360
Blue Flame Wolf,AmaterasuWolf,AmaterasuWolf,AmaterasuWolf,BOSS_AmaterasuWolf,-1,XL,6,Fire,FourLegged,100,70,115,100,110,100,20%,70%,10,3170,Boss,80,130,700,1000,415,1,0,FieldBoss,0,0,300,1,4,25,90,1,0,9,1,1,100,50,830,2,0,0,0,0,0,0,0,0,0,0,0,0,385
Anubis,Anubis,Anubis,Anubis,Boss_Anubis,-1,XL,10,Earth,Humanoid,120,130,130,100,100,100,20%,70%,10,9190,Boss,80,160,800,1000,480,1,0,FieldBoss,0,0,400,1,6,25,90,1,0,9,1,1,100,50,570,0,0,0,0,4,0,0,3,0,0,0,2,0,480
